siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,indiceRepetitionDernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
5420260,19,542026000019,O,1900-01-01,NN,,,2024-03-30T02:52:33,true,3,,,,,,RUE,JOLIOT CURIE,80570,DARGNIES,,,80235,,,,,802350240_B,594288.7735014518,6995038.873381188,,,,,,,,,,,,,,,1991-12-25,F,,,,,20.01,NAP,N
5420278,11,542027800011,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,80270,ALLERY,,,80019,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,44.33,NAP,N
5440011,12,544001100012,O,1991-09-30,NN,,,2025-01-29T02:46:51,true,4,LES MARRONNIERS,,,,,AVENUE,DE VERDUN,4000,DIGNE-LES-BAINS,,,4070,,,,,040701680_B,957717.8159985486,6337333.42628869,,,,,,,,,,,,,,,2012-02-02,F,,,,,68.20B,NAFRev2,N
5440078,11,544007800011,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,4370,COLMARS,,,4061,,,,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,62.11,NAP,N
5440110,38,544011000038,O,1900-01-01,NN,,,2025-01-15T02:10:40,false,4,,,,,,COURS,PECHINEY,4600,CHATEAU-ARNOUX-SAINT-AUBAN,,,4049,,,,,040490585_B,939798.2952130096,6334834.39187688,,,,,,,,,,,,,,,1995-12-25,F,,,,,52.4T,NAF1993,O
5440110,53,544011000053,O,1991-11-04,NN,,,2024-03-30T03:04:56,false,4,,13,,,,BOULEVARD,GASSENDI,4000,DIGNE-LES-BAINS,,,4070,,,,,040700710_B,958767.0310905599,6337807.654337299,,,,,,,,,,,,,,,1996-12-25,F,,,,,70.2C,NAF1993,N
5440110,61,544011000061,O,1995-10-01,NN,,,2024-03-30T03:33:22,true,3,,6,,,,RUE,FIRMIN GUICHARD,4000,DIGNE-LES-BAINS,,,4070,,,,,040700630_B,958470.4280280268,6337133.430129497,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
5440136,17,544013600017,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,4500,QUINSON,,,4158,,,,,,,,,,,,,,,,,,,,,,,F,,,,,67.09,NAP,N
5440185,14,544018500014,O,1954-01-01,NN,,,2024-03-22T15:40:57,true,3,,,,,,,,4250,TURRIERS,,,4222,,,,,,,,,,,,,,,,,,,,,,2006-03-01,F,,,,,52.1B,NAFRev1,N
5440219,11,544021900011,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,4210,VALENSOLE,,,4230,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
5440235,17,544023500017,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,4170,THORAME-BASSE,,,4218,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,60.01,NAP,N
5440409,18,544040900018,O,,NN,,,2024-03-30T07:16:30,true,1,,,,,,RUE,CHAPUZIE,4200,SISTERON,,,4209,,,,,042090230_B,935378.516026363,6348611.493909222,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.46,NAP,N
5440508,17,544050800017,O,,NN,,,2024-03-30T17:33:59,true,1,,,,,,RTE,NEUVE,4160,CHATEAU ARNOUX SAINT AUBAN,,,4049,,,,,040490530_C,,,,,,,,,,,,,,,,,1991-12-31,F,,,,,57.08,NAP,N
5440557,14,544055700014,O,,NN,,,2024-03-30T09:51:49,true,1,,,,,,PLACE,DES RECOLLETS,4000,DIGNE-LES-BAINS,,,4070,,,,,04070v0om9q_B,959339.4769408583,6337857.147596054,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
5440565,17,544056500017,O,1954-01-01,NN,,,2024-03-30T12:23:31,true,4,,,,,,PLACE,DU GENERAL DE GAULLE,4200,SISTERON,,,4209,,,,,042090648_B,935232.2103834725,6348453.166222636,,,,,,,,,,,,,,,2014-12-25,F,,,,,68.20B,NAFRev2,N
5440649,19,544064900019,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,RUE,LOGIS,4800,SAINT-MARTIN-DE-BROMES,,,4189,,,,,,,,,,,,,,,,,,,,,,1988-09-30,F,,,,,62.11,NAP,N
5440672,11,544067200011,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,4120,CASTELLANE,,,4039,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
5440698,16,544069800016,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,4370,COLMARS,,,4061,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.07,NAP,N
5440722,14,544072200014,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,4120,CASTELLANE,,,4039,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.10,NAP,N
5440755,14,544075500014,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,4190,LES MEES,,,4116,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.11,NAP,N
5440789,13,544078900013,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,4530,LA CONDAMINE-CHATELARD,,,4062,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.11,NAP,N
5440797,16,544079700016,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,4700,ORAISON,,,4143,,,,,,,,,,,,,,,,,,,,,,,F,,,,,60.07,NAP,N
5440813,29,544081300029,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,LE FOREST DE BAYONS,4250,LA MOTTE-DU-CAIRE,,,4134,,,,,,,,,,,,,,,,,,,,,,1989-12-31,F,,,,,55.3A,NAF1993,N
5440847,19,544084700019,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,4140,VERDACHES,,,4235,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,69.22,NAP,N
5440904,18,544090400018,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,HAM,LES BAUMES,4200,MISON,,,4123,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
5440938,16,544093800016,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,4200,MISON,,,4123,,,,,,,,,,,,,,,,,,,,,,,F,,,,,01.80,NAP,N
5440987,13,544098700013,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,4500,MONTAGNAC-MONTPEZAT,,,4124,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
5441027,17,544102700017,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,RUE,NEUVE,4140,SEYNE,,,4205,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
5441035,10,544103500010,O,,NN,,,2024-03-30T15:12:35,true,1,,18,,,,RUE,PIED DE VILLE,4000,DIGNE-LES-BAINS,,,4070,,,,,040701250_B,958935.9194995185,6337771.873255632,,,,,,,,,,,,,,,1995-06-30,F,,,,,52.1B,NAF1993,N
5441043,14,544104300014,O,1954-01-01,NN,,,2024-03-29T23:57:12,true,4,,5,,,,BOULEVARD,VICTOR HUGO,4000,DIGNE-LES-BAINS,,,4070,,,,,040701690_B,959040.2709690101,6338113.864861579,,,,,,,,,,,,,,,2008-01-01,F,,,,,68.20B,NAFRev2,N
5441068,11,544106800011,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,RUE,LT BLONDEAU,4120,CASTELLANE,,,4039,,,,,,,,,,,,,,,,,,,,,,1989-12-31,F,,,,,38.40,NAP,N
5441134,11,544113400011,O,,NN,,,2024-03-30T13:15:41,true,1,,42,,,,RUE,MANUEL,4400,BARCELONNETTE,,,4019,,,,,040190340_B,990743.8967252749,6372053.417994357,,,,,,,,,,,,,,,1992-11-30,F,,,,,52.1J,NAF1993,N
5441159,18,544115900018,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,QUAI,SAINT AUBAN,4160,CHATEAU-ARNOUX-SAINT-AUBAN,,,4049,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
5441191,29,544119100029,O,,NN,,,2024-03-30T04:09:11,true,1,,,,,,ALLEE,DES ERABLES,4160,CHATEAU-ARNOUX-SAINT-AUBAN,,,4049,,,,,040490295_B,940923.0737534685,6338142.966193407,,,,,,,,,,,,,,,1985-12-25,F,,,,,62.41,NAP,N
5441233,11,544123300011,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,4370,COLMARS,,,4061,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.04,NAP,N
5441241,14,544124100014,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,QUAI,PLANTIERS,4200,SISTERON,,,4209,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,69.11,NAP,N
5441266,11,544126600011,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,4270,ESTOUBLON,,,4084,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
5441316,14,544131600014,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,4240,ANNOT,,,4008,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,38.50,NAP,N
5441357,18,544135700018,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,4190,LES MEES,,,4116,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
5441365,11,544136500011,O,,NN,,,2024-03-30T09:29:07,true,1,,4,,,,PL,DU MARCHE,4000,DIGNE-LES-BAINS,,,4070,,,,,040701020_C,,,,,,,,,,,,,,,,,1990-05-02,F,,,,,58.11,NAP,N
5441373,15,544137300015,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,4360,MOUSTIERS-SAINTE-MARIE,,,4135,,,,,,,,,,,,,,,,,,,,,,1987-06-10,F,,,,,81.21,NAP,N
5441399,10,544139900010,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,4170,LA MURE-ARGENS,,,4136,,,,,,,,,,,,,,,,,,,,,,1989-03-11,F,,,,,69.12,NAP,N
5441407,11,544140700011,O,,NN,,,2024-03-30T08:19:11,true,1,,,,,,RUE,BASSE,4140,SEYNE,,,4205,,,,,042050026_C,,,,,,,,,,,,,,,,,1992-12-31,F,,,,,93.0D,NAF1993,N
5441449,13,544144900013,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,4800,GREOUX-LES-BAINS,,,4094,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
5441548,12,544154800012,O,,NN,,,2024-03-30T09:21:03,true,1,,39,,,,RUE,DE L'HUBAC,4000,DIGNE-LES-BAINS,,,4070,,,,,040700870_B,959019.3230246742,6337913.291135602,,,,,,,,,,,,,,,,F,,,,,64.49,NAP,N
5441589,16,544158900016,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,PL,DR ITARD,4700,ORAISON,,,4143,,,,,,,,,,,,,,,,,,,,,,1990-06-08,F,,,,,59.08,NAP,N
5441597,19,544159700019,O,,NN,,,2024-03-30T05:42:32,true,1,,,,,,BOULEVARD,GASSENDI,4000,DIGNE-LES-BAINS,,,4070,,,,,040700710_B,959158.658725575,6338041.102798583,,,,,,,,,,,,,,,1985-12-25,F,,,,,64.45,NAP,N
5441613,14,544161300014,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,4160,CHATEAU-ARNOUX-SAINT-AUBAN,,,4049,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.44,NAP,N
5441621,17,544162100017,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,4700,PUIMICHEL,,,4156,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
5441662,11,544166200011,O,,NN,,,2024-03-30T02:53:52,true,1,,,,,,PLACE,DU MARCHE,4210,VALENSOLE,,,4230,,,,,042300220_B,939884.0538555554,6308740.752985879,,,,,,,,,,,,,,,1985-12-25,F,,,,,62.11,NAP,N
5450010,11,545001000011,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,4160,CHATEAU-ARNOUX-SAINT-AUBAN,,,4049,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
5450051,15,545005100015,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,QUAI,DE LA BONNETTE,4000,DIGNE-LES-BAINS,,,4070,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N
5450093,17,545009300017,O,1900-01-01,NN,,,2024-03-22T15:40:57,false,4,,5,,,,ALL,L GARDIOL,4500,RIEZ,,,4166,,,,,,,,,,,,,,,,,,,,,,2001-02-20,F,,,,,60.2B,NAF1993,O
5450093,25,545009300025,O,1991-01-01,NN,,,2024-03-22T15:40:57,false,4,,,,,,QUAI,STE ANNE,4500,RIEZ,,,4166,,,,,,,,,,,,,,,,,,,,,,2010-12-31,F,,,,,45.20A,NAFRev2,N
5450093,33,545009300033,O,2001-02-20,NN,,,2024-08-21T15:11:11,true,9,LE PASSY,,,,,AVENUE,DES THERMES,4800,GREOUX-LES-BAINS,,,4094,,,,,040940265_B,932925.206722315,6299701.38983598,,,,,,,,,,,,,,,2024-08-01,A,PASSIONNEMENT GLAMOUR,,,PASSIONNEMENT GLAMOUR,77.11A,NAFRev2,N
5450093,41,545009300041,O,2011-04-12,NN,,,2024-03-30T02:10:01,false,2,,36,,,,RUE,GRANDE,4800,GREOUX-LES-BAINS,,,4094,,,,,040940101_B,932197.0599565107,6299741.135202246,,,,,,,,,,,,,,,2022-02-15,F,PASSIONNEMENT GLAMOUR,,,PASSIONNEMENT GLAMOUR,47.71Z,NAFRev2,O
5450093,58,545009300058,O,2015-02-01,NN,,,2025-02-12T02:28:08,false,3,,27,,,,RUE,GRANDE,4800,GREOUX-LES-BAINS,,,4094,,,,,040940101_B,932214.9164183927,6299744.345233857,,,,,,,,,,,,,,,2016-12-31,F,,,,,47.71Z,NAFRev2,O
5450101,26,545010100026,O,,NN,,,2024-03-22T15:40:57,true,1,,4,,,,BD,LA FERRAGE,13860,PEYROLLES-EN-PROVENCE,,,13074,,,,,,,,,,,,,,,,,,,,,,1988-09-26,F,,,,,18.11,NAP,N
5450119,10,545011900010,O,1986-03-24,NN,,,2025-02-02T02:08:37,false,4,,63,,,,BD,GASSENDI,4000,DIGNE-LES-BAINS,,,4070,,,,,,,,,,,,,,,,,,,,,,1994-12-25,F,LE GRAND CAFE,,,,92.3H,NAF1993,O
5450119,28,545011900028,O,1994-05-01,NN,,,2025-02-01T03:04:00,true,4,ROUTE DE MARSEILLE,,,,,,SAINT CHRISTOPHE,4000,DIGNE-LES-BAINS,,,4070,,,,,,,,,,,,,,,,,,,,,,2021-12-01,F,,,,,70.10Z,NAFRev2,N
5450119,36,545011900036,O,1994-05-01,NN,,,2024-03-22T15:40:57,false,7,,3,,,,BD,GASSENDI,4000,DIGNE-LES-BAINS,,,4070,,,,,,,,,,,,,,,,,,,,,,2021-12-01,F,,,,,56.30Z,NAFRev2,N
5470018,10,547001800010,O,,NN,,,2024-03-30T11:33:20,true,1,,,,,,AVENUE,DU MARCHE,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,440552280_B,292548.0182730965,6701155.909846965,,,,,,,,,,,,,,,1985-12-25,F,,,,,55.40,NAP,N
5470075,10,547007500010,O,,NN,,,2024-03-30T05:39:31,true,1,,13,,,,RUE,DU CENTRE,44510,LE POULIGUEN,,,44135,,,,,441350320_B,289902.2857447196,6700376.200751204,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.08,NAP,N
5470190,17,547019000017,O,,NN,,,2024-03-30T03:48:16,true,1,,,,,,RUE,DE KERVENEL,44490,LE CROISIC,,,44049,,,,,44049dn1fdp_B,283628.42302360316,6702149.455128196,,,,,,,,,,,,,,,1984-12-25,F,,,,,69.12,NAP,N
5470208,17,547020800017,O,,NN,,,2024-03-30T06:33:38,true,1,,105,,,,AVENUE,DE LA REPUBLIQUE,44600,SAINT-NAZAIRE,,,44184,,,,,441845330_B,306394.8671315011,6700080.851396272,,,,,,,,,,,,,,,2000-02-05,F,,,,,64.11,NAP,N
5470430,17,547043000017,O,,NN,,,2024-03-30T07:42:53,true,1,,2,,,,RUE,CHARLES BRUNELIERE,44570,TRIGNAC,,,44210,,,,,442100120_B,308393.95567861426,6703588.391542487,,,,,,,,,,,,,,,,F,,,,,62.43,NAP,N
5470455,14,547045500014,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,LD,LA BOSSE,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.41,NAP,N
5470489,13,547048900013,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,LD,LE PONT DENYON,44480,DONGES,,,44052,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,86.06,NAP,N
5470620,13,547062000013,O,,NN,,,2024-03-30T10:13:57,true,1,,17,,,,RUE,DES CHANTIERS,44600,SAINT-NAZAIRE,,,44184,,,,,441840940_B,307738.5838792672,6700710.666355408,,,,,,,,,,,,,,,1993-03-31,F,,,,,55.4B,NAF1993,N
5470653,14,547065300014,O,,NN,,,2024-03-30T15:24:01,true,1,,23,,,,BOULEVARD,LEON GAMBETTA,44600,SAINT-NAZAIRE,,,44184,,,,,441843760_B,305853.26264148514,6699307.348620462,,,,,,,,,,,,,,,1993-08-16,F,,,,,52.1B,NAF1993,N
5470927,20,547092700020,O,,NN,,,2024-03-29T22:56:47,true,1,,,,,,AVENUE,DE LA FORET,44300,NANTES,,,44109,,,,,441093215_B,353972.1143382263,6692565.270608051,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.14,NAP,N
5470943,19,547094300019,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,44130,BLAIN,,,44015,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,58.03,NAP,N
5470984,13,547098400013,O,,NN,,,2024-03-30T15:50:20,true,1,,,,,,AVENUE,DE VERA CRUZ,44600,SAINT-NAZAIRE,,,44184,,,,,441845800_B,306140.70462324616,6698577.42685419,,,,,,,,,,,,,,,1984-12-25,F,,,,,40.32,NAP,N
5471065,10,547106500010,O,,NN,,,2024-03-22T15:40:57,true,1,,1,,,,PL,DU GENERAL D ARGENCE,44410,HERBIGNAC,,,44072,,,,,,,,,,,,,,,,,,,,,,1987-12-31,F,,,,,67.04,NAP,N
5471115,13,547111500013,O,,NN,,,2024-03-30T02:42:34,true,1,,45,,,,RUE,DE LA PAIX ET DES ARTS,44600,SAINT-NAZAIRE,,,44184,,,,,441844540_B,306149.10523761663,6699324.404477936,,,,,,,,,,,,,,,,F,,,,,64.11,NAP,N
5471214,14,547121400014,O,,NN,,,2024-03-30T08:38:06,true,1,,8,,,,PLACE,DE L’HOTEL DE VILLE,44260,SAVENAY,,,44195,,,,,441950660_B,327098.0013590085,6707133.285121897,,,,,,,,,,,,,,,,F,,,,,64.11,NAP,N
5471420,17,547142000017,O,,NN,,,2024-03-30T18:36:21,true,1,,,,,,BOULEVARD,DE VERDUN,44600,SAINT-NAZAIRE,,,44184,,,,,441845810_B,306828.21107671177,6698638.8800582895,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.11,NAP,N
5471438,19,547143800019,O,,NN,,,2024-03-30T07:49:25,true,1,,,,,,,BEAULIEU,44160,PONTCHATEAU,,,44129,,,,,44129ciepmr_B,313898.17020227696,6718070.814776202,,,,,,,,,,,,,,,1995-08-31,F,,,,,70.2C,NAF1993,N
5471495,19,547149500019,O,,NN,,,2024-03-30T08:34:52,true,1,,,,,,RUE,DE VERDUN,44260,SAVENAY,,,44195,,,,,441951500_B,327253.43211430515,6707121.428677546,,,,,,,,,,,,,,,1985-12-25,F,,,,,55.72,NAP,N
5471578,12,547157800012,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,PL,DE L EGLISE,44130,LE GAVRE,,,44062,,,,,,,,,,,,,,,,,,,,,,1987-09-30,F,,,,,67.04,NAP,N
5471594,19,547159400019,O,,NN,,,2024-03-30T04:55:56,true,1,,,,,,PLACE,DE L'EGLISE,44530,GUENROUET,,,44068,,,,,440680054_B,327387.940368498,6724928.080642659,,,,,,,,,,,,,,,1984-12-25,F,,,,,38.40,NAP,N
5471602,10,547160200010,O,,NN,,,2024-03-29T23:57:03,true,1,,,,,,RUE,DE PORNICHET,44600,SAINT-NAZAIRE,,,44184,,,,,441845040_B,305316.858968562,6698272.37869516,,,,,,,,,,,,,,,1985-12-25,F,,,,,81.21,NAP,N
5471628,15,547162800015,O,,NN,,,2024-03-30T09:59:12,true,1,,22,,,,RUE,GREGOIRE ORAIN,44460,FEGREAC,,,44057,,,,,440570048_B,321072.4128862464,6732543.074858731,,,,,,,,,,,,,,,1992-06-30,F,,,,,85.1J,NAF1993,N
5471685,15,547168500015,O,,NN,,,2024-03-30T13:17:38,true,1,,,,,,ROUTE,DE NANTES,44160,PONTCHATEAU,,,44129,,,,,441290380_B,316974.18278246047,6715902.910880926,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.08,NAP,N
5471743,12,547174300012,O,,NN,,,2024-03-30T10:10:08,true,1,,,,,,AVENUE,DE LA REPUBLIQUE,44600,SAINT-NAZAIRE,,,44184,,,,,441845330_B,306283.95956953056,6699592.571782289,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.12,NAP,N
5471768,19,547176800019,O,,NN,,,2024-03-30T00:32:30,true,1,,,,,,AVENUE,DES IBIS,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,440551760_B,292486.80545280117,6701131.595625649,,,,,,,,,,,,,,,1984-12-25,F,,,,,40.32,NAP,N
5471784,16,547178400016,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,RUE,HOTEL VILLE,44290,GUEMENE-PENFAO,,,44067,,,,,,,,,,,,,,,,,,,,,,1988-08-31,F,,,,,15.8C,NAF1993,N
5471800,10,547180000010,O,1900-01-01,NN,,,2025-01-22T02:26:20,false,4,,145,,,,AVENUE,DU GENERAL DE GAULLE,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,440551380_B,292786.6751624995,6701236.895262786,,,,,,,,,,,,,,,1997-04-30,F,LA BAULE AMEUBLEMENT,,,,52.4H,NAF1993,N
5471800,28,547180000028,O,1900-01-01,NN,,,2025-01-21T03:15:58,true,4,,,,,,ROUTE,DE LA BAULE,44350,GUERANDE,,,44069,,,,,440690166_B,291880.56220300717,6702461.229644594,,,,,,,,,,,,,,,2016-12-25,F,,,,,68.20B,NAFRev2,N
5471842,12,547184200012,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,PL,ABB CORBILLE,44130,BOUVRON,,,44023,,,,,,,,,,,,,,,,,,,,,,,F,,,,,62.44,NAP,N
5471891,19,547189100019,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,ESP BENOIT,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.46,NAP,N
5471941,12,547194100012,O,,NN,,,2024-03-30T14:19:50,true,1,,,,,,AVENUE,DONIZETTI,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,440551070_B,294633.59831421165,6700352.106814397,,,,,,,,,,,,,,,1984-12-25,F,,,,,65.06,NAP,N
5471958,16,547195800016,O,,NN,,,2024-03-30T10:51:27,true,1,,15,,,,AVENUE,GEORGES CLEMENCEAU,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,440551440_B,292936.55668401974,6701348.119064698,,,,,,,,,,,,,,,1988-09-30,F,,,,,67.08,NAP,N
5472014,17,547201400017,O,,NN,,,2024-03-30T10:42:25,true,1,,,,,,ROUTE,DE VANNES,44160,PONTCHATEAU,,,44129,,,,,441290590_B,315750.5220757051,6716708.7563100085,,,,,,,,,,,,,,,1984-12-25,F,,,,,65.03,NAP,N
5472022,28,547202200028,O,,NN,,,2024-03-30T12:29:23,true,1,,,,,,BOULEVARD,DES OCEANIDES,44380,PORNICHET,,,44132,,,,,441321040_B,295971.26717918064,6698886.544072039,,,,,,,,,,,,,,,1987-07-09,F,,,,,86.09,NAP,N
5472063,14,547206300014,O,,NN,,,2024-03-30T15:09:55,true,1,,163,B,,,,MAYUN,44410,LA CHAPELLE DES MARAIS,,,44030,,,,,44030B215_C,,,,,,,,,,,,,,,,,1990-06-30,F,,,,,54.08,NAP,N
5472238,20,547223800020,O,1900-01-01,NN,,,2025-01-18T02:24:22,true,3,,,,,,,LE BOURG,44630,PLESSE,,,44128,,,,,44128B440_C,,,,,,,,,,,,,,,,,2006-06-30,F,,,,,70.2C,NAFRev1,N
5472253,11,547225300011,O,,NN,,,2024-03-30T03:36:36,true,1,,276,,,,AVENUE,DU MARECHAL DE LATTRE DE TASSIGNY,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,440552290_B,291433.38609329093,6700937.119264602,,,,,,,,,,,,,,,,F,,,,,67.08,NAP,N
5472261,14,547226100014,O,,NN,,,2024-03-30T03:23:45,true,1,,,,,,,LA VILLES DAVAUD,44380,PORNICHET,,,44132,,,,,44132B294_C,,,,,,,,,,,,,,,,,1996-09-30,F,,,,,37.2Z,NAF1993,N
5472683,19,547268300019,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,BOURG,44530,SAINT-GILDAS-DES-BOIS,,,44161,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.04,NAP,N
5472857,19,547285700019,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,BOURG,44160,SAINTE-ANNE-SUR-BRIVET,,,44152,,,,,,,,,,,,,,,,,,,,,,1990-03-27,F,,,,,22.01,NAP,N
5472873,16,547287300016,O,,NN,,,2024-03-29T23:34:26,true,1,,,,,,AVENUE,DE MAZY,44380,PORNICHET,,,44132,,,,,441320850_B,295847.63633998524,6699372.0035872385,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.43,NAP,N
5472980,19,547298000019,O,1954-01-01,NN,,,2024-03-23T15:41:43,true,6,,,,,,,BOURG,44360,CORDEMAIS,,,44045,,,,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
5473020,13,547302000013,O,,NN,,,2024-03-30T12:54:07,true,1,,10,,,,BOULEVARD,DE COURCELLES,44290,GUEMENE-PENFAO,,,44067,,,,,440670080_B,337288.9759987456,6736748.026184647,,,,,,,,,,,,,,,,F,,,,,55.71,NAP,N
