siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,indiceRepetitionDernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
5410527,13,541052700013,O,,NN,,,2024-03-30T09:09:08,true,1,,84,,,,RUE,PASTEUR,80100,ABBEVILLE,,,80001,,,,,800011480_B,615960.8760042273,7001743.527421082,,,,,,,,,,,,,,,1997-07-01,F,,,,,70.2C,NAF1993,N
5410543,10,541054300010,O,,NN,,,2024-03-30T09:24:30,true,1,,,,,,ROUTE,NATIONALE,80860,NOUVION,,,80598,,,,,805980421_B,612892.0105797307,7013094.491856465,,,,,,,,,,,,,,,,F,,,,,67.05,NAP,N
5410642,10,541064200010,O,,NN,,,2024-03-30T03:12:14,true,1,,1,,,,RUE,DE SAINT-VALERY,80220,GAMACHES,,,80373,,,,,803730920_B,596733.8025706881,6988854.58138133,,,,,,,,,,,,,,,1991-12-31,F,,,,,64.45,NAP,N
5410667,17,541066700017,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,80132,MAREUIL-CAUBERT,,,80512,,,,,,,,,,,,,,,,,,,,,,1996-10-30,F,,,,,55.4B,NAF1993,O
5410675,10,541067500010,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,80270,ALLERY,,,80019,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.43,NAP,N
5410717,10,541071700010,O,,NN,,,2024-03-30T17:13:15,true,1,,27,,,,RUE,SAINT JEAN,80135,SAINT-RIQUIER,,,80716,,,,,807160515_B,624847.4278977821,7004575.034938539,,,,,,,,,,,,,,,1990-10-31,F,,,,,65.06,NAP,N
5410733,17,541073300017,O,,NN,,,2024-03-30T03:08:54,true,1,,17,,,,PETITE RUE,NOTRE - DAME,80100,ABBEVILLE,,,80001,,,,,800011420_B,616085.4728702786,7001385.212106389,,,,,,,,,,,,,,,,F,,,,,57.03,NAP,N
5410741,10,541074100010,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,AV,DE LA GARE,80120,QUEND,,,80649,,,,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,64.42,NAP,N
5410758,14,541075800014,O,,NN,,,2024-03-30T13:08:50,true,1,,,,,,CHAUSSEE,MARCADE,80100,ABBEVILLE,,,80001,,,,,800011240_B,616143.6933307206,7002084.806655714,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.05,NAP,N
5410816,10,541081600010,O,,NN,,,2024-03-29T22:53:18,true,1,,3,,,,RUE,DE L'ARQUET,80370,HIERMONT,,,80440,,,,,804400002_B,634058.4815024603,7011221.418013085,,,,,,,,,,,,,,,,F,,,,,38.40,NAP,N
